filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	date
EPH-PT-1-109-002.jpg	25	196	83.7032	153	70.4487	30	56.0239	1953.00
EPH-PT-1-19-002.jpg	141	106	57.2224	38	27.3413	47	61.0508	1961.00
EPH-PT-1-2-001.jpg	142	191	79.3803	171	67.3608	29	53.7977	1961.00
EPH-PT-1-105-002.jpg	17	205	87.7027	15	36.5927	42	78.9009	1952.00
EPH-PT-1-106-001.jpg	18	194	82.8647	123	98.2555	146	24.7007	1940.00
EPH-PT-2-1-001.jpg	328	191	78.107	31	31.6565	154	53.1123	1985.00
EPH-PT-2-10-001.jpg	330	190	80.3334	11	48.2176	35	88.5446	1985.00
EPH-PT-2-11-001.jpg	352	193	80.6811	10	50.2986	51	87.3144	1986.00
EPH-PT-2-12-001.jpg	374	196	81.2861	10	50.3762	49	88.7235	1986.00
EPH-PT-1-55.jpg	224	163	48.0649	49	41.6124	95	38.7685	1976.00
EPH-PT-2-100-001.jpg	332	109	63.858	70	48.1949	30	75.2467	1985.00
EPH-PT-2-101-001.jpg	334	129	63.5277	66	43.5046	36	68.5753	1985.00
EPH-PT-2-102-001.jpg	336	150	72.0237	25	45.8751	113	83.4457	1985.00
EPH-PT-2-103-001.jpg	338	127	69.4695	39	48.8914	36	70.6806	1985.00
EPH-PT-2-104-001.jpg	340	89	63.483	49	33.4208	42	71.2862	1985.00
EPH-PT-2-105-001.jpg	342	89	63.146	51	33.5841	42	71.2724	1985.00
EPH-PT-2-106-001.jpg	344	105	64.9506	33	37.1538	155	82.2979	1986.00
EPH-PT-2-107-001.jpg	346	145	66.099	67	44.6034	26	73.6767	1986.00
EPH-PT-2-108-001.jpg	348	144	65.8988	72	45.2131	25	72.9973	1986.00
EPH-PT-2-109-001.jpg	350	76	68.4187	44	48.9425	28	84.8285	1986.00
EPH-PT-2-110-001.jpg	354	86	64.2511	41	38.2037	30	86.5929	1986.00
EPH-PT-2-111-001.jpg	356	69	70.9014	52	47.4819	29	71.4753	1986.00
EPH-PT-2-112-001.jpg	358	148	78.8473	36	47.339	137	79.022	1986.00
EPH-PT-2-113-001.jpg	360	166	74.0342	31	57.9159	42	81.3491	1986.00
EPH-PT-2-114-001.jpg	362	169	76.8895	29	35.5206	79	69.3855	1986.00
EPH-PT-2-115-001.jpg	364	178	72.5221	32	54.5788	129	80.3349	1986.00
EPH-PT-2-116-001.jpg	366	167	73.0018	59	63.2549	32	89.4234	1986.00
EPH-PT-2-117-001.jpg	368	115	72.6528	36	54.7996	46	83.6495	1986.00
EPH-PT-2-118-001.jpg	370	55	72.1251	28	43.8641	135	75.2448	1986.00
EPH-PT-2-119-001.jpg	372	94	70.1453	34	54.4641	44	92.4976	1986.00
EPH-PT-2-120-001.jpg	376	75	68.3239	30	41.8976	155	84.3726	1986.00
EPH-PT-2-121-001.jpg	378	169	68.1802	35	70.1683	149	84.8915	2006.00
EPH-PT-2-122-001.jpg	380	163	67.7381	32	35.1058	151	79.8304	2006.00
EPH-PT-1-43-001.jpg	196	49	65.4859	81	44.6945	37	62.0888	1980.00
EPH-PT-1-43-002.jpg	197	56	68.3027	79	44.7315	37	60.7612	1980.00
EPH-PT-1-46-002.jpg	203	116	83.2652	41	77.6701	106	65.2927	1985.00
EPH-PT-1-47-001.jpg	204	155	66.0466	166	83.4329	100	43.0206	1980.00
EPH-PT-1-47-002.jpg	205	156	64.3965	166	83.9744	100	41.7133	1975.00
EPH-PT-1-48-001.jpg	206	80	82.2829	62	50.2967	27	59.8725	1975.00
EPH-PT-1-49-001.jpg	208	76	82.297	63	48.9072	26	62.3934	1980.00
EPH-PT-1-49-002.jpg	209	83	82.4241	57	48.1807	26	61.6641	1981.00
EPH-PT-1-5-001.jpg	210	210	88.2684	127	66.1634	12	62.1435	1981.00
EPH-PT-1-5-002.jpg	211	187	90.8844	103	67.954	14	67.4485	1982.00
EPH-PT-1-50-001.jpg	212	84	81.5027	52	51.4603	29	59.7368	1982.00
EPH-PT-1-50-002.jpg	213	89	81.0903	46	50.654	29	55.7864	1984.00
EPH-PT-1-51-001.jpg	214	219	89.6765	7	16.9342	42	73.0936	1959.00
EPH-PT-1-51-002.jpg	215	219	87.9197	7	18.2584	42	71.99	1969.00
EPH-PT-1-52-001.jpg	216	220	90.1769	9	17.1061	35	72.9102	1969.00
EPH-PT-1-52-002.jpg	217	220	88.2861	8	18.7966	35	68.6361	1969.00
EPH-PT-1-53-001.jpg	218	152	56.5294	185	64.7079	10	63.1911	1974.00
EPH-PT-1-53-002.jpg	219	153	54.4009	184	67.2396	10	60.6935	1976.00
EPH-PT-1-54-001.jpg	220	189	86.3097	10	59.3092	34	68.6892	1976.00
EPH-PT-1-54-002.jpg	221	220	84.4924	9	59.1006	34	67.8685	1976.00
EPH-PT-1-55-001.jpg	222	210	71.3279	180	56.5825	240	114.2249	1976.00
EPH-PT-1-55-002.jpg	223	211	73.7727	179	60.445	233	113.7911	1976.00
EPH-PT-1-56-001.jpg	225	218	87.5072	10	69.3714	42	95.4196	1976.00
EPH-PT-1-56-002.jpg	226	224	84.4696	6	69.7681	42	95.253	1976.00
EPH-PT-1-57-001.jpg	227	222	89.7971	14	68.3375	34	90.8034	1977.00
EPH-PT-1-57-002.jpg	228	223	87.5153	13	68.6512	34	90.7777	1977.00
EPH-PT-1-58-001.jpg	229	225	86.005	3	52.214	51	83.0149	1977.00
EPH-PT-1-58-002.jpg	230	225	82.9712	3	52.3418	42	83.4594	1977.00
EPH-PT-1-59-001.jpg	231	227	88.4634	7	58.867	42	77.2797	1977.00
EPH-PT-1-59-002.jpg	232	227	86.1954	6	59.1332	42	77.5786	1977.00
EPH-PT-1-6-001.jpg	233	210	89.2783	127	66.6282	12	64.1356	1977.00
EPH-PT-1-6-002.jpg	234	190	91.2959	100	67.4429	13	70.9042	1977.00
EPH-PT-1-60-001.jpg	235	32	80.5496	40	58.4191	70	70.3167	1977.00
EPH-PT-1-60-002.jpg	236	32	83.6361	41	59.0954	71	69.359	1977.00
EPH-PT-1-61-001.jpg	237	231	86.7795	28	26.1738	29	59.8712	1977.00
EPH-PT-1-61-002.jpg	238	231	82.7642	28	26.4878	29	58.4597	1977.00
EPH-PT-1-62-001.jpg	239	215	76.9994	21	42.2704	34	61.9113	1977.00
EPH-PT-1-62-002.jpg	240	217	73.7882	21	42.7228	34	60.085	1977.00
EPH-PT-1-63-001.jpg	241	171	77.2408	119	109.8211	152	54.3469	1977.00
EPH-PT-1-63-002.jpg	242	173	75.8523	112	111.2018	151	56.4018	1977.00
EPH-PT-1-64-001.jpg	243	226	88.4692	6	41.6545	34	69.1437	1977.00
EPH-PT-1-64-002.jpg	244	225	84.4798	5	41.459	34	67.5869	1977.00
EPH-PT-1-65-001.jpg	245	26	71.7088	70	52.3236	135	62.1892	1977.00
EPH-PT-1-65-002.jpg	246	27	75.1657	66	49.8886	135	61.9256	1977.00
EPH-PT-1-66-001.jpg	247	212	75.163	13	44.178	31	84.832	1977.00
EPH-PT-1-66-002.jpg	248	205	80.6436	12	42.5489	34	80.1961	1977.00
EPH-PT-1-67-001.jpg	249	113	65.2583	34	30.2583	18	85.0597	1977.00
EPH-PT-1-67-002.jpg	250	110	70.0756	33	30.8579	23	82.8801	1978.00
EPH-PT-1-68-001.jpg	251	112	66.2672	149	69.1152	116	24.5988	1979.00
EPH-PT-1-68-002.jpg	252	118	66.641	150	69.1997	117	26.6427	1979.00
EPH-PT-1-69-001.jpg	253	192	77.558	29	39.1481	126	84.8547	1980.00
EPH-PT-1-69-002.jpg	254	197	73.2909	27	39.8072	112	84.7963	1981.00
EPH-PT-1-7-001.jpg	255	98	75.8294	97	55.6477	14	76.4186	1983.00
EPH-PT-1-7-002.jpg	256	101	73.7936	94	58.0757	12	75.2327	1984.00
EPH-PT-1-70-001.jpg	257	173	72.4401	58	65.8165	155	92.9508	1984.00
EPH-PT-1-70-002.jpg	258	230	75.1082	8	16.1899	34	64.9823	1984.00
EPH-PT-1-70-003.jpg	259	175	71.7948	63	66.3323	145	92.1374	1984.00
EPH-PT-1-71-001.jpg	260	171	72.0927	64	65.5268	155	90.7035	1984.00
EPH-PT-1-71-002.jpg	261	231	75.3671	6	17.1362	34	66.3588	1985.00
EPH-PT-1-71-003.jpg	262	172	69.8739	65	65.9551	146	90.8224	1985.00
EPH-PT-1-72-001.jpg	263	170	71.7433	67	64.4463	152	90.2493	1985.00
EPH-PT-1-72-002.jpg	264	231	75.4555	7	16.908	34	66.0564	1985.00
EPH-PT-1-72-003.jpg	265	174	71.5003	69	64.7646	145	89.9268	1985.00
EPH-PT-1-73-001.jpg	266	207	75.1937	50	36.7444	33	54.278	1985.00
